,text
152,"Ihr vermisst auch schon den Weihnachtsmarkt? 🎅🎄
Neben Glühwein gehört auch dieses Getränk einfach mit dazu: Apfelpunsch 🍎 Ob Alkoholfrei oder mit Schuss, so geht er super schnell zu Hause🏠

Was Ihr dafür braucht:

🎁 1L Bio Apfelsaft
🎁 4 Bio Zimtstangen (+ welche zum verzieren)
🎁 10 Bio Gewürznelken
🎁 6 Bio Sternanis
🎁 optional 150ml Rum

🎄Den Apfelsaft mit den Gewürzen in einen Topf erwärmen. Anschließend kann optional der Rum dazugegeben werden. Mit einer Zimtstange und Sternanis servieren. Prost!
.
.
.
.
#Kamelur #Bio #hot #punsch #apfelpunsch #glühwein #mulledwine #weihnachten #weihnachtsmarkt #christmas #kochen #drink #hotdrink #winter #christmastime"
153,😍👏
154,"süß oder herzhaft, Zimtstangen oder Zimtpulver 🎄 Weihnachtsgewürze können vielseitig eingesetzt werden! Ob im Weihnachtsbraten oder Glühwein oder in Keksen 🍪🎅
Mein Favourite-Weihnachtsgewürz ist der Klassiker: Zimt 😍

Welche Weihnachtsgewürze sind aus eurer Küche nicht wegzudenken? 🥰
.
.
.
.
#Kamelur #Bio #vegan #biolebensmittel #gewürze #Weihnachten #weihnachtsgewürze #zimt #cinnamon #muskat #sternanis #spices #gesund #gesundelebensmittel #favourite #food #christmas #weihnachtsbäckerei #baking #cooking"
155,"Wir können die Gewürze auf dem Bild förmlich riechen.🤩

Wir benutzen für unsere Smoothies oft Zimt, Kurkuma und Kardamom. ☺️"
156,"Jährlich landen etwa 12 Millionen Tonnen Lebensmittel in Deutschland im Müll. 🚯♻️ Was die Ursachen und Folgen von Lebensmittelverschwendung sind, und wie wir es versuchen können zu vermeiden, klären wir in unseren neuen Blogbeitrag 📝

Wie beugt Ihr Lebensmittelverschwendung vor? 🤔

➡️ Link in Bio!
.
.
.
.
#Kamelur #Bio #lebensmittel #lebensmittelverschwendung #umwelt #natur #umweltschutz #umweltbewusstsein #nachhaltig #nachhaltigkeit #ökologisch #klimaschutz #unweltverschmutzung #naturschutz"
157,"Egal ob als Haus oder Herzen, mit Zuckerguss oder Schokolade 🎄 Wir lieben Lebkuchen 😋 ❤️
Wir haben für euch ein schnelles Rezept für vegane Lebkuchen 🥰

Ihr braucht:

🌿 400g Bio Mehl
🌿 125g Bio Rohrohrzucker
🌿 225g Zuckerrübensirup
🌿 125g vegane Margarine
🌿 2EL Bio Lebkuchengewürz
🌿 1TL Backnatron
🌿 1TL Bio Leinsamen

und so geht's:

1️⃣ Leinsamen mit einem Esslöffel Wasser vermischen und ca. 5min quellen lassen. In der Zwischenzeit das Mehl mit den restlichen Zutaten in eine Schüssel geben. Die Leinsamen hinzufügen und alles gut vermischen. Den Teig für eine Stunde im Kühlschrank ruhen lassen.

2️⃣ Den Ofen auf 200° Ober-/Unterhitze vorheizen. Den Teig aus dem Kühlschrank nehmen und auf einer bemehlten Arbeitsfläche einen halben Zentimeter dick ausrollen. Den Teig auf ein Backblech geben und für 10-12min backen.

3️⃣ Kurz abkühlen lassen und dann nach belieben mit Schokolade, Zuckerguss oder Eischnee verzieren 😊 🍪

Euch gefällt der Beitrag? Dann lass uns doch gern ein Like oder ein Kommentare da! 💚
.
.
.
.
#kamelur #bio #vegan #veggie #lebkuchen #gingerbread #christmas #backen #backenmachtglücklich #veganerezepte #biolebensmittel #weihnachten #weihnachtsbäckerei #veganesdeutschland #süßundlecker #bake #backenistliebe #food"
158,Mmmh lecker sehen die aus 😍
159,Send pics ❤️ @food._brand
160,"It's Bowl Time 🥗 Wir haben für euch eine super leckere Winter-Bowl mit Avocado und Kichererbsen 🤤

Ihr braucht:

🌿 250g Bio Bulgur
🌿 200g Bio Kichererbsen
🌿 4 Karotten
🌿 2 Rote Beete
🌿 1 Avocado
🌿 50g Bio Walnüsse
🌿 2TL Senf
🌿 4TL Agavendicksaft
🌿 Öl, Essig
🌿 Salz, Pfeffer und Kräuter

Und so geht's:

1️⃣ Die Kichererbsen über Nacht in Wasser einweichen. Anschließend abgießen und mit frischen Wasser für ca. 60min weich kochen.

2️⃣ Das Gemüse gut abwaschen und dann in feine Scheiben schneiden. Das Gemüse auf einen Backblech verteilen, etwas Öl drüber tröpfeln und gut würzen. Bei ca 200° für 15-20min knusprig backen.

3️⃣ Den Bulgur mit ca. 250ml Wasser oder Gemüsebrühe für 15min quellen lassen. Für das Dressing den Agavendicksaft mit dem Senf vermischen. Ein Esslöffel Essig und fünf Esslöffel Olivenöl hinzugeben und mit Salz und Pfeffer würzen.

4️⃣ Jetzt nur noch anrichten und Guten Appetit! 😋

Euch gefällt der Beitrag? Dann würden wir uns sehr über ein Like, Kommentar oder Share freuen! 💚
.
.
.
.
#Kamelur #Bio #vegan #veggie #bowl #winterbowl #bulgur #kichererbsen #rezept #veganerezepte #veggierezepte #veganesdeutschland #rezeptidee #bowls #bowlrezepte #kochenmitliebe #backenmachtglücklich #food #gesund"
161,eine perfekte Bowl 😍
162,"Heute gibt es mal ein etwa anderes Rezept 🐶 Ihr wollt euren Vierbeinern eine kleine Freude machen? 😍 Wir haben für euch ein Rezept für Hundekekse 😱 Auch unsere Sammy hat sie für gut befunden 😋

Ihr braucht:

🌿 200g Bio Buchweizenmehl
🌿 1TL Bio Gerstengraspulver
🌿 100g Bio körnigen Frischkäse
🌿 2 Bio Eier

➡️ Die ganzen Zutaten zu einem Teig vermischen. Etwas Buchweizenmehl auf die Arbeitsfläche verteilen, den Teig ausrollen und Kekse ausstechen. Bei 200° Ober-/Unterhitze für ca. 15min backen. Die Kekse gut auskühlen lassen!

Euch gefällt der Beitrag? Dann würden wir uns sehr über einen Like, Kommentar oder Share freuen! 💚
.
.
.
.
#Kamelur #bio #hundekekse #gerstengras #buchweizen #healthy #dog #backenmachtglücklich #backenmitliebe #christmas #hund #veggiedog"
163,Das ist ja ne tolle Idee 😍
164,"Lebkuchen-Kuchen - Kuchen in Kuchen 🤤 Perfekt für den 1. Advent haben wir für euch ein leckeres Weihnachtskuchen-Rezept 🕯️🎄

Ihr braucht:

🎁 150g Bio Weizenmehl
🎁 200g Bio Dattelzucker
🎁 100g Bio Butter
🎁 450g Schmand
🎁 1EL Speisestärke
🎁 1EL Bio Lebkuchengewürz
🎁 2 Eier

So funktioniert's:

1️⃣ Das Mehl mit 70g Zucker, Butter und einem Ei vermischen. Den Teig in Frischhaltefolie einwickeln und für 60min in den Kühlschrank legen.

2️⃣ Den Schmand in eine Schüssel geben und den restlichen Zucker, Speisestärke, ein Ei und das Lebkuchengewürz hinzugeben und alles gut vermischen.

3️⃣ Den Ofen auf 200° Ober-/Unterhitze vorheizen. Den Teig ausrollen und in eine gefettete Springform geben. Den Schmand aus den Teig verteilen und für ca. 25min backen.

Guten Appetit! 😋

#kamelur #bio #veggie #lebkuchen #kuchen #lebkuchenrezept #backen #backenmachtglücklich #backenmitliebe #weihnachten #weihnachtsrezepte #christmas #weihnachtsbäckerei"
165,👏Oh wie gut
166,Hmm sieht sehr lecker aus 😍🤗 schau gerne auch mal bei mir vorbei 😊🍁
167,"Falafel sind ein orientalischer Klassiker 🧆 Entdeckt unser Curry-Falafel-Rezept mit Kokos! 😋

Ihr braucht:

🌿 250g Bio Kichererbsen, getrocknet
🌿 30g Bio Kokosmehl
🌿 1 Zwiebel
🌿 1 Knoblauchzehe
🌿 1TL Bio Madras Curry
🌿 1/2TL Bio Kreuzkümmel
🌿 1 1/2TL Salz
🌿 1/2TL Backpulver

🌿 200ml Sahne/vegane Soja-Creme
🌿 1 Brokkoli
🌿 250g Bio Basmati-Reis

Und so geht's:

1️⃣ Die Kichererbsen über Nacht in Wasser einweichen lassen und dann abgießen. Die abgetropften Kichererbsen, das Kokosmehl, Zwiebel, Knoblauch und die Gewürze in einem Mixer geben. Alles gut zerkleinern und vermischen.

2️⃣ Den Reis mit 500ml Wasser in einem Topf geben und köcheln lassen, bis der Reis gar ist.

3️⃣ Die Falafel-Masse zu kleinen Bällchen Formen und schön braun anbraten. Den Brokkoli kleinschneiden und kochen. Die Falafel kurz aus der Pfanne heraus nehmen.

4️⃣ Eine Zwiebel kleinschneiden und diese in der Pfanne anbraten. Die Sahne in die Pfanne geben. Anschließend die Falafel mit dem Brokkoli in die Soße hinzugeben.

Guten Appetit! 😋

#Kamelur #bio #vegan #veggie #falafel #curryfalafel #veganerezepte #dinner #kochen #kochenmitliebe #kochenmachtglücklich #vegetarischerezepte #rezeptideen #rezepte #veganesdeutschland #gesund #gesundimalltag"
168,Sieht sehr köstlich aus 😍😍😍
169,"Die Kichis müssen nicht mehr gekocht werden vorher? Das Anbraten reicht?
Danke für das tolle Rezept ❤️"
170,Super lecker 😍
171,"🎄Dresdner Christstollen - für uns ein absolutes Muss in der Weihnachtszeit! 🤤

Warum wir Ihn so lieben und wie Ihr Christstollen ganz einfach selber machen könnt, findet Ihr in unseren neuen Blogbeitrag! 🎅📝

➡️ Link in Bio!

#kamelur #bio #christstollen #dresdnerchriststollen #weihnachten #christmas #Lebkuchen #spekulatius #dresden #food #tradition #backen #backenmachtglücklich #backenmitliebe #weihnachtsbäckerei"
172,Promote it on @heritage_of_christmas
173,"Unser November-Gewinnspiel❗ Ihr habt 10x die Möglichkeit einen Gutschein im Wert von 30€ zu gewinnen😱

Wie du gewinnen kannst? Ganz einfach:
1️⃣ Like diesen Beitrag
2️⃣ Folge unserem Account @kamelur
3️⃣ Markiere eine/n Freund/in in den Kommentaren ... und schon landest du im Lostopf😊 🌿

Das Gewinnspiel beginnt am 20.11.2021 und endet am 28.11.2021 (23.59 Uhr). Der/Die Gewinner/i wird am Folgetag ausgelost und von uns per Direktnachricht kontaktiert🌿

*Teilnahmebedingungen:
❗Der/Die Teilnehmer/in muss seinen/ihren Wohnsitz in Deutschland haben
❗Der/Die Teilnehmer/in muss volljährig sein, d.h. das 18.Lebensjahr vollendet haben
❗Jede/r Teilnehmer/in darf nur einmal am Gewinnspiel teilnehmen.
❗Ausführliche AGBs zum Gewinnspiel sind auf unserer Website www.kamelur.de zu finden (siehe Linktree in der Bio) Dieses Gewinnspiel steht in keinem Zusammenhang mit Instagram oder Facebook.

#kamelur #onlineshop #gewinn #gewinnspiel #biolebensmittel #trockenfrüchte #nüsse #backenundkochen #getränke #vegan #bio #november"
174,Hoffe mal etwas zu gewinnen @barfusslaufenyogajunkie
175,@moe1152 damit könnten wir unseren Nuss Bestand auffüllen 😍
176,@melli_elli_
177,@danielb1504 🍀🤗
178,@eberhardvogel
179,"@maro.nr
❤️🤩✌️"
180,@toshi.the.tabby 😍😍😍
181,Qualität schafft Freude . @karin04111951 @marion.feix
182,"Wunderbares Gewinnspiel 🔥🔥und toller Online Shop 👏👏👏 mit hochwertigen Produkten, die zum gesunden und nachhaltigen Kochen und Essen anregen. Als Hobbykoch 👨‍🍳👨‍🍳der auf Bioprodukte setzt, wäre es fantastisch zu gewinnen 👏👏👏👏Daumen fest gedrückt 🍀🍀🍀🍀🍀 @sportmachtspass"
183,@lena_klee das ist ja mal ein richtig tolles Gewinnspiel ❤️
184,@blackstarluzia
185,Tolles Gewinnspiel @mandys_tortenbaustellen
186,@jonnywalker1981
187,@lara.meo
188,@dominikdeutsch4554
189,@moni9254 🤗😍
190,"Würde mich sehr freuen, ich liebe Trockenobst als Snack beim Radfahren 😍 @cargobikez"
191,@chreazysneezy91 ☺️
192,@gurkentroll 😋
193,@xandrakuhn
194,"Wir haben ein superleckeres Rezept für euch: Fingerbrot mit Kräuter der Provence 😋

Ihr braucht:
🌿 300g Bio Weizenmehl
🌿 150g Bio Maismehl
🌿 250ml lauwarmes Wasser
🌿 50ml Öl
🌿 1TL Salz
🌿 1Pckg. Trockenhefe
🌿 Bio Kräuter der Provence

und so geht's:

1️⃣ Das Mehl mit dem Maismehl, Salz und Trockenhefe vermischen. Anschließend das lauwarme Wasser hinzugeben und alles zu einem glatten Teig vermengen. Den Teig für ca. 1h an einen warmen Ort ruhen lassen.

2️⃣ Bestreichen Sie eine Auflaufform mit ein wenig Öl. Formen Sie den Hefeteig zu kleinen Bällchen und verteilen Sie diese in der Auflaufform.

3️⃣ Vermischen Sie das Öl mit einem EL Bio Kräuter der Provence und bestreichen Sie die Brötchen mit dem Öl. Backen Sie die Brötchen anschließend für ca. 30min bei 200° Ober-/Unterhitze.

🤫Tipp: schmeckt auch super mit Bio Bärlauch!

#Kamelur #Bio #vegan #veggie #Brötchen #kräuterbrötchen #brot #brotrezepte #veganerezepte #backen #backenmitliebe #backenmachtglücklich #backrezepte #vegetarischerezepte #recipe #veganrecipe #food #foodlove #breakfast #lunch"
195,Köstliches Rezept 😍😍😍
196,Sehen toll aus 😮😍
197,"Wie lecker, vielen Dank fürs teilen! 😍"
198,"Hagebutten sind in der Herbst- und Winterzeit gar nicht wegzudenken 🍂 Durch Ihren hohen Gehalt an wertvollen Inhaltsstoffen, sind sie vor allem als Tee in der Erkältungszeit beliebt! 🍵

Die getrockneten Hagebutten können aber nicht nur in Tees verwendet werden 😲 Auch in Smoothies, Bowls oder auch in Likör machen sie eine super Figur! 😊

#Kamelur #bio #vegan #veggie #veganelebensmittel #hagebutte #rosehip #hagebutte #gesund #gesundelebensmittel #vitamine #healthy #tea #tee #gesundimalltag #veganesdeutschland"
199,"Habt Ihr auch schon wieder Fernweh? 😩 Dann holt euch doch einfach Frankreich nach Hause!🤤 Unsere neues Rezept für Schokomacarons mit Tonkabohnen-Füllung ist online😊

Ihr braucht:
🌿 72g Eiweiß
🌿 170g Puderzucker
🌿 90g Bio Mandeln, gemahlen
🌿 1EL Bio Kakaopulver
🌿 100ml Sahne
🌿 200g weiße Schokolade
🌿 1/2TL Bio Tonka

Das vollständige Rezept findet Ihr in unseren neuen Blogbeitrag! 😊
➡️Link in Bio

#Kamelur #Bio #Macarons #France #schokolade #chocolate #macaronslover #macaronstagram #homemade #selfmade #backenmachtglücklich #backenmitliebe #food #dessert #foodlove #veggie"
200,Wie lecker die wieder aussehen 😍
201,"Wir haben für euch den perfekten Snack für euren gemütlichen Fernsehabend! 😏 Lavendel-Thymian Cracker mit selbstgemachten Chutney 🤤

Ihr braucht für den Teig:
🌿 250g Bio Weizenmehl
🌿 125g Butter
🌿 125g Parmesan
🌿 2 Eier
🌿 1EL Bio Lavendelblüten
🌿 1EL Bio Thymian

und für das Chutney:
🌿 30g Bio Cranberrys
🌿 30g Bio Physalis
🌿 50g Bio Aprikosen
🌿 60g Bio Datteln
🌿 1 Rote Zwiebel
🌿 120ml Apfelsaft
🌿 20ml Essig
🌿 1 Bio Lorbeerblatt
🌿 Salz

und so funktioniert’s:

1️⃣ Mischen Sie für den Teig alle Zutaten zusammen. Kneten Sie den Teig zu einer Rolle und wickeln Sie ihn in Frischhaltefolie ein. Anschließend sollte er für ca. 60min im Kühlschrank ruhen.

2️⃣ Schneiden Sie die Trockenfrüchte und die Zwiebel klein. Braten Sie die Zwiebeln in etwas Olivenöl an und geben Sie anschließend die klein geschnittenen Trockenfrüchte hinzu. Löschen Sie die Mischung mit dem Apfelsaft und Essig ab. Lassen Sie das Chutney für ca. 10min köcheln. Vor dem servieren sollte das. Chutney abgekühlt sein.

3️⃣ Heizen Sie den Backofen auf 180° Ober-/Unterhitze vor. Schneiden Sie die Teigrolle in ca. 5mm dicke Scheiben und backen Sie diese anschließend für ca. 25min. Danach sollten die Cracker vollständig auskühlen.

Guten Appetit! 😋

#Kamelur #Bio #veggie #snack #crackers #chutney #backen #kochen #backenmachtglücklich #kochenmitliebe #food #foodlover #lavendelcracker #vegetarischerezepte #vegetarianrecipes #veggiefood"
202,😍😍😍
203,"Sie schmecken kalt und warm: Unsere Rote Linsen Bratlinge 🤤 Wir haben für euch ein super, leckeres Rezept!🍲

Ihr Braucht:

🌿 200g Bio Rote Linsen
🌿 250g Bio Bulgur
🌿 2EL Tomatenmark
🌿 1TL Bio Kreuzkümmel
🌿 1TL Bio Garam Masala
🌿 1TL Salz
🌿 1TL Bio schwarzen Pfeffer
🌿 2 Eier

Und so geht's:

1️⃣ Zuerst die roten Linsen für ca. 15min in 600ml Wasser kochen lassen. Danach geben Sie den Bulgur hinzu und lassen die Linsen mit dem Bulgur für weiter 3min köcheln und danach für weitere 15min ziehen. Anschließend die Linsen und den Bulgur abkühlen lassen.

2️⃣ Geben Sie die Gewürze, das Tomatenmark und die Eier hinzu und vermischen Sie alles ordentlich miteinander. Jetzt müssen die Linsenbratlinge nur noch gebraten werden.

Guten Appetit!😋

#Kamelur #bio #veggie #rotelinsen #linsen #bulgur #pattys #frikadellen #pflanzerl #vegetarisch #vegetarischerezepte #gesund #gesundelebensmittel #biolebensmittel #healthy #gesunderezepte #gesundimalltag"
204,Das sieht sooo lecker aus! 😍
205,die hören sich richtig gut an 😍
206,"Biscotti, es gibt doch fast nichts besseres das zu Tee oder Kaffee passt 🤤☕ Und so könnt Ihr sie ganz einfach selber machen:

Ihr braucht:
🌿 300g Bio Weizenmehl
🌿 150g Bio Dattelzucker
🌿 110ml Pflanzenmilch
🌿 75g Bio Pistazien
🌿 75g Bio Cranberrys
🌿 1TL Backpulver
🌿 1/2TL Salz

so funktioniert's:

1️⃣ Heizen Sie den Backofen auf 200° vor. Geben Sie das Mehl mit den Dattelzucker, Pistazien, Cranberrys, Backpulver, Salz und der Sojamilch in eine Schüssel und vermengen Sie alle Zutaten miteinander.

2️⃣ Geben Sie den Teig auf eine Arbeitsfläche und formen Sie eine längliche Rolle. Drücken Sie den Teig fest an, da er etwas bröseln kann.

3️⃣ Backen Sie dir Biscotti für ca. 30min und lassen Sie diese danach gut auskühlen.

4️⃣ Sobald die Biscotti-Rolle ausgekühlt ist, schneiden Sie diese in etwa 1cm dicke Scheiben und backen diese noch einmal bei ca. 200° für 8min. Jetzt müssen die Biscotti nur noch kurz auskühlen und dann können sie serviert werden 😊

#Kamelur #Bio #vegan #veggie #Biscotti #cantuccini #italien #italienischerezepte #snack #dessert #food #backen #backenmachtglücklich #backenistliebe #foodlover #italianfood #veganerezepte #veganesdeutschland"
207,Die sehen richtig gut aus! 😍
208,😍😍😍😍
209,die Biscotti sehen aber toll aus 😍
210,Send pic💚 @food._brand
211,"📃Nahrungsergänzungsmittel werden von vielen Menschen zur Gesundheitsvorsorge eingenommen. Die in den Produkten enthaltenen Vitamine, Mineralien, Pflanzenextrakte oder
Mikronährstoffe sollen Mangelerscheinungen vorbeugen und Beschwerden verschiedenster Art lindern – so die Werbeversprechen. Doch sind Nahrungsergänzungsmittel wirklich sinnvoll?🤔

Alles Wissenswerte über Nahrungsergänzungsmittel erfahrt Ihr in unseren neuen Blogbeitrag! 🤓

#kamelur #bio #vegan #veggie #nahrungsergänzung #nahrungsergänzungsmittel #gesund #gesundheit #healthy #fitness #gesundimalltag #nahrungsmittel"
212,"Einfach und Lecker! Rote Beete Risotto 😋

Ihr braucht für 4 Personen:

🌿 500g Bio Risotto Reis
🌿 30g Bio Gemüsebrühe Pulver
🌿 1,5L warmes Wasser
🌿 Rote Beete
🌿 eine Zwiebel
🌿 Butter
🌿 Parmesan

so funktioniert's:

1️⃣ Mischen Sie das Gemüsebrühe Pulver mit 1,5L heißem Wasser. Schneiden Sie die Zwiebeln in kleine Würfel und dünsten Sie diese in etwas Olivenöl an. Wenn diese glasig sind, geben Sie den Risotto Reis mit dazu und braten diesen für ca. 2min mit an.

2️⃣ Geben Sie nun die Gemüsebrühe mit zu dem Reis hinzu. Nebenbei die Rote Beete in kleine Würfel schneiden und diese mit dazu geben.
Lasst den Reis für ca. 30min köcheln.

3️⃣ Wenn der Reis schön schlotzig ist, können Sie die Butter und den Parmesan mit hinzugeben und alles gut umrühren. Anschließend mit ein wenig Parmesan servieren! 😋

#Kamelur #bio #veggie #rotebeete #risotto #reis #gesund #gesundegerichte #kochen #kochenmitliebe #kochenmachtglücklich #kochenmachtspass #lunch #mittag #vegetarischerezepte #gesundkochen #gesundelebensmittel #biolebensmittel"
213,Supi 🙌
214,"Pancakes gehen doch immer!😍🥞 Wir haben heute glutenfreie, vegane Pancakes aus Teffmehl probiert und die waren super lecker🤤

Ihr Braucht:
🌿 500g Bio Teffmehl
🌿 200g Bio Dattelzucker
🌿 400ml Pflanzenmilch
🌿 2TL Bio Ceylon Zimt
🌿 1TL Bio Vanille
🌿 1TL Bio Backpulver
🌿 2 Bio Äpfel
🌿 100ml Wasser

so funktioniert's:

1️⃣ Schneidet zuerst die Äpfel klein und stellt sie noch einmal kurz beiseite. Gebt 100g des Zuckers mit dem Wasser in einem Topf und lasst es aufkochen. Rührt die Zuckermasse um, bis sich der Zucker aufgelöst hat. Anschließend gebt Ihr die Äpfel und den Zimt hinzu und lasst alles für ca. 10min köcheln.

2️⃣ Rührt das Mehl mit den restlichen Zutaten zusammen zu einem glatten Teig. Erhitzt eine Pfanne mit Öl und gebt ein wenig des Pancake Teigs rein. Bratet die Pancakes schön braun an.

Guten Appetit 😋



#kamelur #bio #vegan #veggie #pancakes #glutenfrei #teffmehl #glutenfreiesbacken #backen #backenmachtglücklich #backenistliebe #frühstück #breakfast #food #schnellegericht #glutenfree #glutenfreevegan #veganerezepte #glutenfreefood #veganesdeutschland"
215,"die sehen so gut aus 😍 hab Teffmehl bisher noch nicht probiert, muss ich aber unbedingt ganz bald mal machen!"
216,Ach wie lecker😍
217,"Lust auf einen kleinen Snack zwischendurch? 😏
Wir haben ein Rezept für Dinkel-Zimt-Bällchen.. Ganz ohne Zucker! 😱

Ihr braucht:

🌿 140g Bio Datteln Deglet
🌿 100g Bio Dinkelflocken
🌿 40g Bio Haselnüsse
🌿 30g Bio Walnüsse
🌿 40g Bio Leinsamen
🌿 2TL Bio Zimt
🌿 1/2TL Bio Vanillepulver
🌿 1/2TL Salz
🌿 1EL Bio Kokosöl

📝Und so geht's:

1️⃣ Weichen Sie die Datteln in ein wenig Wasser für 5-10min ein.

2️⃣Geben Sie die Haselnüsse und die Walnüsse in einen Mixer und zerkleinern Sie diese. Geben Sie die Nussmischung zu den Dinkelflocken, Leinsamen, Vanille und Zimt dazu und mischen Sie diese kurz durch.

3️⃣Gießen Sie die Datteln ab und geben Sie diese mit dem Kokosöl in einen Mixer und zerkleinern Sie die Masse. Vermischen Sie anschließend die Kokos-Dattel-Mischung mit den Dinkelflocken.

4️⃣Formen Sie kleine Bällchen und legen Sie diese auf ein Backblech. Anschließend können Sie auf die Bällchen noch mit einer Mandel (oder einer anderen Nuss) verzieren. Backen Sie diese anschließend bei 180° auf Ober-/Unterhitze für ca. 15min.

Guten Appetit.🤤

#Kamelur #Bio #vegan #veggie #snack #zuckerfrei #backen #zuckerfreierezepte #veganerezepte #veganesdeutschland #backenmachtglücklich #backenmitliebe #backenohnezucker #gesund"
218,die sehen aber lecker aus 😋
219,Das merken wir uns! Danke für dieses Rezept. Liebe Grüße aus dem Gesundheitszentrum in Dresden Bühlau
220,"Oh ja, ich hätte gern ein paar 😍"
221,"Kichererbsen sind ein echter Alleskönner 😲

Sie haben einen hohen Eiweißgehalt, viele Ballaststoffe und enthalten wichtige Mineralien🌿daher sind Sie vor allem in der veganen und vegetarischen Kochwelt sehr beliebt😋

Wir haben für euch ein super leckeres Rezept für eine Kichererbsenpfanne 🥘 probiert Sie doch mal aus!

Das Rezept findet Ihr vollständig in unseren Blog🌿
➡️ Link in Bio

#Kamelur #Bio #vegan #veggie #biolebensmittel #kichererbsen #chickpeas #gesund #gesundelebensmittel #veganerezepte #veganrecipes #kochen #kochenmitliebe #kochenmachtspass #kichererbsencurry #veganfood #veganesdeutschland #vegandresden"
222,Oh lecker 🤤 Kichererbsen stehen bei uns auch regelmäßig auf dem Speiseplan ☺️
