,text
892,@mella.xx 😂
893,Gerade steht sie vor mir aufm Tisch
894,@leonie.x20 Du schaffst das nicht 🤣😘❤
895,Caption 🔥
896,Ich liebe euer Marketing 😂😂😂❤️
897,@yvonna1992 DU😂😂😂🙏🏻❤️
898,"hat das n grund, oder warum sind die grünen bei edeka nich so beliebt?"
899,Wish I can have this shipped to America these are so good
900,@truefruitssmoothies Also ich seh da ne neue Challenge. 💪🏼 #holdmytruefruits
901,@lisaf1996_ Ich in der Thier-Galerie letztes Jahr. 😂
902,So geil von euch !
903,Feminist*Innen Kommentare incoming …
904,@pia._ 😂😂😂
905,Geht auch mit den großen Flaschen!
906,Eemmmm bin ich der einzige Kerl der auch seine Hände nachdem ich aus dem Auto aussteige ? (Natürlich mit truefruitssmoothies)
907,Schätze das hat die Evolution im Ausgleich für die fehlenden taschen gebracht😂
908,"Wo gibt’s den, den Schlüsselanhänger den beide am Schlüssel haben?
😮"
909,"Offizielle Kooperation mit Kälte Perry #teenagedream #truefruitsupcycling

PS Unsere Flaschenhülle findest Du unter true-fruits.com"
910,Wird es auch noch weitere Flaschenhüllen geben? Gerne auch normale einfarbige ?
911,"Dankeschön an dieser Stelle, für den Katy Perry-Ohrwurm 😂"
912,F+Uber insta ❤️
913,Ist jemand da den ich was fragen darf❤️🥰
914,"Erinnerst Du Dich noch? Damals, vor fast drei Wochen, als Du Dir vorgenommen hast, mehr zu trinken, mehr Geld zu sparen und gesünder zu leben? Hier kommt Dein kleiner Reminder in Form unseres Bundles: Ab jetzt unter true-fruits.com erhältlich! Happy 17.01., happy ""Wirf-Deine-Neujahrsvorsätze-über-Bord-Tag"" #truefruitsupcycling #angebundelt"
915,Sehr guter Reminder 🤪
916,Wird es auch noch Aufsätze für die kleinen Flaschen geben? 😊
917,Morgen wirst Du diesen Post verstehen #guteaufsätze #fürsneuejahr #truefruitsupcycling
918,Mega gemacht 👏
919,ohhhh wie cool
920,Eine Visualisierung wie ein Großteil meines Budgets in @truefruitssmoothies gesteckt wird🥴
921,Die Aufsätze brauch ich unbedingt ! 😍
922,"Yeah, gibt es wieder Aufsätze? Ich warte schon sehnlichst darauf!"
923,"Ich find die Smoothies klasse, die Flaschen auch. Schönes Zuhause für Reis Linsen und Haferflocken😍👏❤️"
924,"Hm, gibt’s wieder Aufsätze?"
925,J’adore le concept !! J’en cherche une justement !! 😍
926,Liebe euer Zeug ❤️😂
927,"Stabile Satinlage #auchohnelöffelchen #truefruits

PS. In einem Monat ist Valentinstag"
928,🙌
929,hier gibts kein Kaufland 😓
930,ist der nur im Kaufland vorhanden?
931,sexi
932,Uiii da weiß ich schon ma was ich demnächst kaufe 😍😂
933,"Ein Wortspiel, so schlecht, dass es schon wieder gut ist! 😁"
934,Wer geht jetzt zum lachen noch in den Keller? #omanoman #truefruits
935,😍😍😍
936,Das Leben ist ein Auf und Ab #bergfest #truefruits
937,@michelleby
938,"Einmal die Texte im Bild tauschen und als Überschrift ""Nährwerte"" 🙌🏼"
939,hä wann habt ihr in meinen kühlschrank geschaut
940,Seit ich truefruits trinke geht es bei mir nur noch aufwärts
941,Warum besteht der Grüne Smoothie fast ausschließlich aus Apfelsaft und Obst Püree?!
942,"Tbh, Trend verpasst"
943,If only they were in the states
944,👀🧸🐾😱
945,Wir haben Euch Bern #amigros
946,Jetzt noch die anderen Sorten. Zbs Rewe und Kaufland exclusive. Ich hab euch nämlich gerade entdeckt und würde die anderen Sorten auch gern probieren :)
947,The best smoothies☺️ I even brought some to Russia😄
948,Werde die lustigen Sprüche denn auf Schweizerdeutsch sein? 😂😂
949,Reiner Kapitalswissmus!
950,Mann schmeckt bereits den angst Schweiz ;)
951,🔥
952,oiso monche kommis do san jo echt a witz chilln is die Formel für ein ruhiges Leben 🙌
953,Wir wollen die LE 1 aus dem Scheizer Ländle sehen? Heidi & der Geissen Peter…auf der Alm da gibt’s koa Sünd? Oder Geschmacksrichtung „Käsefondue“?
954,😂😂😂
955,Wien oder Winterthur Hauptsache Schweiz 🤓😆
956,Ihh Schweiz
957,"So schlechte Witze, ich will Kanton mehr von euch hören!"
958,Geh mir nicht auf den Keks. #twentytwentytoo #truefruits
959,"felt cute, might delete later #gibdirnenruck #dusack #truefruitsupcycling

PS Unsere Flaschenhülle findest Du unter true-fruits.com"
960,Ihr huensöhne
961,"Aktuell mein täglicher Wegbegleiter, er zaubert mir immer wieder ein Lächeln ins Gesicht. Bester Kauf des Jahres 2021. Eisbär 🐻‍❄️ so qute"
962,Cute😍
963,😍😍😍😍❤️
964,so süß😍
965,Gib Dirnen Ruck?
966,😍
967,Hört bitte auf uns vollzuspamen #entspamteuchmal 😘
968,"Bin ich die einzigste die sich sogar die Mühe gemacht hat, den Link https://bit.ly/hauptgewinntruefruitsgibshkjdfioösdflnbsdhjbfwennichmeinekreativeenergieinwasvernünftigessteckenwürdewäreichschonlangeauflegalemwegereich in die Googlesuchleiste einzugeben? 😂😂 🤭"
969,😂😂😂😂😂😂😂😂😂
970,Die Zuschriften sind fast besser als beim Postillion 🤣🤪!
971,"Bereits Albert Einstein wusste: 2 Dinge sind unendlich - Das Universum und....nunja, das hier 🤷🤗"
972,Die trollen doch
973,😂😂😂😂
974,"Um es mit den Worten von Einstein zu kommentieren: ""Zwei Dinge sind unendlich, das Universum und die menschliche Dummheit, aber bei dem Universum bin ich mir noch nicht ganz sicher.""

Liebes @truefruitssmoothies Team, wir kommen ja alle mit einem Gehirn zur Welt, aber die Möglichkeit der Nutzung scheint nicht für jeden verfügbar zu sein. 😂"
975,Ich kann nicht mehr 🤣
976,Hahahaha!
977,Wie armselig … meine Bediensteten pressen mir jeden Tag 2 Liter Osaft. Besser geht’s nicht 😘
978,Geil😂😂😂
979,@aileenerhardt 😂
980,"Also wer @truefruitssmoothies zu ernst nimmt, sollte sich nochmal ihre PR-Politik reinziehen...😂👏👏👏"
981,Komische Fragen. Die wichtigste Frage ist doch wie man ohne jede Qualifikation einen Job bei euch bekommt?
982,Die Leute glauben auch alle drei Minuten sie hätten ein IPhone gewonnen...
983,🙈🙈🙈
984,oh wow 🤦🏼‍♀️😂
985,Zu gut😂😂😂
986,Alter. Wie kann man denn sowas nur glauben? Im Ernst jetzt? Das gleiche wie der Prinz aus Afrika der einem 20.000€ vererbt hat. Und man müsse nur 10.000€ Bearbeitungsgebühr überweisen 🤦🏻‍♀️
987,Hilfe. Was denn da los?
988,Denkt ihr das Gleiche wie wir gerade? #quersumme #truefruits
989,@jacaranda_cafe
990,Is this one your daily saftkur package?
991,@panzer___ eine eigene Flasche 😍
992,wann erhältlich? ich will wieder kindergeld und vor allem mal n panzer!
993,Wo kann man die Kaufen?
994,PANZER!!!
995,True Fruits x a Bathing Ape. Danke ❤️
996,BIG SUPREME BOTTLE PLEASE ❤️
997,😩 Ich warte schon soooooo lange auf meine ‚GEDÖNS‘-Wunschflasche 🙏 Biiiiiitte 😉
998,"Ich denke, euch fällt nix mehr ein... Seit 2 Jahren? Nur noch grosse Schriften? Langweilig"
999,Quando spedirete anche in Italia??? Sono buonissimi😍
1000,😍😍
1001,"Ich brauche den Panzer Smoothie, mein Freund ist gestern zur Bundeswehr gegangen und das passt ja mal super"
1002,"Keine Ahnung. Weiß ja nicht, was ihr denkt. 🤷🏻‍♀️"
1003,"Ich bin nur froh, dass ihr #Silvester richtig geschrieben habt"
1004,Was steht denn auf der Triple Purple?
1005,UND KARSTEN GÄ? ICH BIN KEEN PANTZER!
1006,Panzer holt mich ab
1007,"Der einzige Shot, den Du jetzt noch runterbekommst #prost #truefruits"
1008,Bist Du! #richtigverknallt #truefruits
1009,Der ist echt gut😍😍
1010,Beste Sorte !
1011,😍😍
1012,Der ist gut!! 😂
1013,Guten Rutsch 🔥
1014,Heute schon beim Frühstück volllaufen lassen. #ichtrinknsmoothievielleicht #truefruits
1015,😂🙌🔥😂
1016,Manche Menschen haben garnuchts
1017,Einfach 5€ danebengeschüttet
1018,Alles Gute für 2022!! 🥳🍀🍄💫🎶✌️
1019,Der letzte O-Saft von euch wird heute geköpft. 😢 Rutscht alle gut rein! 🥳
1020,Quasi Natursekt
1021,"Nein? Wir teilen unsere gern mit Euch.
#haltenlänger #truefruitsupcycling
PS Unsere Bundles findet ihr unter true-fruits.com"
1022,Wo bleiben eure Seifenspender? Ich warte seit 2 Jahren 😭
1023,schade liefert ihr nicht in die Schweiz :(
1024,Warte immer noch sehnsüchtig auf den Seifenspender! 😍 Und nur so ne Idee für das nächste Weihnachten… So ein Kerzenhalteraufsatz (Für Stabkerzen und/oder Teelichter) wäre mega!
1025,"Leider sind diese nicht verfügbar, ab wann bekommt man sie wieder?"
1026,"ne ich brauch den seifenspender, zack zack her damit 😂"
1027,🔥🔥🔥🔥
1028,Ein Aufsatz damit man die kleinen Flaschen als Babyflasche 🍼 nutzen kann wäre super 👍🏻
1029,Ich will mehr pink Smoothies trinken
1030,Wären die nicht so verdammt teuer
1031,"Zwischen den Jahren niemand:
#mimimimimimittwoch #truefruits"
1032,"Grad probiert weil ich mich heut schlapp fühl und in der Mittagspause in der Arbeit grad nix essen wollte…war mein erster Smoothie von euch und wenn ich dann aus hab später, schnapp ich noch ein paar Flaschen für daheim! Soooo lecker und tut echt gut, fühl mich viel besser jetzt. :) ♥️🥳"
1033,Hab ich erst heute wieder verzehrt .Das ist mein Favorit und der mit Heidelbeeren und Brombeeren.
1034,Für mich ist das die beste Sorte. Ich kaufe auch gerne eure Experimente- aber diese hier ist 10/10.
1035,"Eine Woche im Hotel Mama makes me feel like:
#kingsize #truefruits"
1036,"Macht mal Weihnachtspause!
🧸🐾
Merry Christmas 🎄🎁"
1037,"… ist unser Lebkuchenmann zwar nicht, dafür aber immer flüssig. #kommtgutzurgeldung"
1038,Hätte besser sein können.. Schmeckt leider kaum nach Lebkuchen dafür sehr nach Apfel & Banane mit viel Gewürzen
1039,"Tbh sieht es aus, als würde der Lebkuchenmann gerade geboren werden 😂"
1040,Schmeckt nach Arschritze!
1041,"..und so liebe Kinder, wurdet ihr geboren..🤰"
1042,Da hat Lord Farquaad einfach den Pfeffi püriert 😂🤣
1043,So gut !!!
1044,Schmeckt leider nicht ganz so gut...
1045,Abwarten bis die femnazis wieder jammern
1046,"Musste erst von München nach Ingolstadt umziehen, bis ich sowohl diesen als auch ""Danke Merkel"" einfach so ergattern konnte 🙈😊"
1047,@ju_li2121 😍
1048,"Ist zwar sehr teuer, aber schmeckt mega nice"
1049,Ich hab bisher 2 kaufen können. Seitdem nie wieder gesehen xD aber Hauptsache den Senf Smoothie gibt's überall 🥴🤣 warum wohl?
1050,Und nirgendwo zu kriegen…
1051,"Juuuuhu, ich muss zunehmend wahrnehmen, dass sowohl bei Edeka, als auch bei Rewe die Auswahl eurer Smoothies wirklich schlecht wird. Ich sehe seit Monaten wirklich keine Special Editions mehr 😭😭 klar die „Klassiker“ sind da…"
1052,Auch in AT erhältlich? @truefruitssmoothies 🥺
1053,🔥
1054,Nordpoldance #beiderstangehalten #truefruits #truefruitsupcycling
1055,"Selfcare, ich habe es mir selber geschenkt ! Es zaubert mir ein Lächeln ins Gesucht wenn ich morgens meine Getränke 🥤 mitnehme. Bestes Geschenk 🎁 ever 😍😍😍 bin verliebt 😻"
1056,"Das beste Geschenk, dass ich mir dieses Jahr selbst gegönnt habe 🥰"
1057,"Uuuuuuh Mama, behaaaaave!😍"
1058,@rinou0310 🤩
1059,"Wenn du feststellst, dass in vier Tagen Weihnachten ist #backmylife #truefruits"
1060,"Och ich suchen den schon seit Wochen in den unterschiedlichen Supermärkten und, leider nix 😢"
1061,Der ist sooooo lecker!😍☺️👍🏼 aber das beste ist das Gedicht auf der Flasche!🙈 @henrik_fleige
1062,Sooooo lecker🔥
1063,"🔥🔥🔥der Hammer, so leckooor ❤️❤️❤️"
1064,"Wenn Du feststellst, dass @truefruitssmoothies wieder so wenig Special Editions produziert hat, dass du in hundert Geschäften nicht eine gefunden hast 🥺🙈🙃😉😅"
1065,Extrem lecker die Sorte
1066,Natürlich ungeöffnet
1067,Ich hätte eine Flasche abzugeben.
1068,exaktli
1069,Ich hab ihn auch noch nicht bekommen 😢
1070,"Ich, jedes Mal wenn ich hier sitze und immer noch keine Kekse auf dem Tisch stehen 🙈🤣😅"
1071,"Ich jedes Mal wenn ich feststelle, dass mein Edeka immer noch keinen Lebkuchen Smoothie hat 😢"
1072,Gibt es den noch? Finde den seit der Draußen ist nicht
1073,Auf der Flasche sah die Öffnung aus der der rauskommt aber bisschen anders aus 🤭
1074,👏
1075,"Für alle, die eh immer nur mit Flaschen kuscheln #daskannmansichtechtschenken #truefruitsupcycling"
1076,Liebs wie ihr aus scheisse geld macht ☺️
1077,Kam heute aus dem Urlaub zurück und in der Zwischenzeit kam das Paket an ❤️ die 🐻‍❄️ Hülle ist sooo schön & niedlich 😍
1078,"Jedes verpackte Jahr das Gleiche. #daspackstduschon #truefruitsupcycling

PS Unsere Upcycling-Bundles findest Du unter true-fruits.com"
1079,Lass Dir einen Bären aufbinden! #machtdichkalt #eisbärhülle #upcycling #truefruitsupcycling #truefruits
1080,@__schubiboss__ 🐻‍❄️
1081,Ich liebe eure wortwitze
1082,@rinou0310
1083,@denise.bllnr 😍❤️
1084,@jonas_weber_
1085,"Unsere zweite true fruits Hülle für die 750 ml Smoothie-Pulle ist da! Der Eisbär ist weiß, bianco! Das bärenstarke Ding hält Deine Getränke warm oder kalt, je nachdem was Du in die Flasche gefüllt hast und ist ab jetzt in unserem Online Shop erhältlich! #machtdichkalt #eisbärhülle #upcycling #truefruitsupcycling #truefruits"
1086,So süß 😍
1087,Leider viel zu spät gesehen 😩☹🥺
1088,Das Alpaka hat sein Winterfell bekommen…😂😂😂
1089,Der Preis schreckt sofort ab😢 Was häkeln oder stricken ist selbstgemacht und billiger.
1090,Main Lama wird sich soooo freuen!
1091,"Sehr süß, aber ich bleibe dem Alpaka (oder Lama?) vom letzten Jahr treu! 🦙"
1092,Wann gibts wieder die Gießer 🥲
1093,"Der Preis geht gar nicht, 38€ für eine Flaschenhülle 🙈 viel zu teuer"
1094,Der Eisbär gefällt mir sehr gut. 😍 Meine Bestellung ist raus. 😊
1095,So hässlich das es schon ein must have ist
1096,Leider Wolle! Das geht auch anders @truefruitssmoothies
1097,Süß. Leider sind die Farbe weiß und ich keine Freunde 😅 wäre ganz schnell ein Schwarz Bär 🐻
1098,Ist eh längst ausverkauft😂
1099,@irmelasophieletz 👌🏼🐻‍❄️
1100,"Sorry, aber bei 38€ bin ich leider raus"
1101,Was lezde prais?
1102,So so süß!😍
1103,"Könnte besser sein, gefällt mir so nicht. Geld gespart"
1104,@truefruitssmoothies is life… wait for the end! Happy holidays! #unpaidpromotion
1105,Wenn's nur so wenige wären 🥲😂
1106,Echt stark! ❤️
1107,Echt stark! ❤️
1108,👏❤️
1109,Same 🤭
1110,Da kann ich locker mithalten 😂
1111,@denise.bllnr 🔥🙌🏽
1112,@sasagebauer 🤣🤣🤣
